"","fit1","fit2","fit3","fit4"
"lnPFDeA",1.11563770415468,1.08516609624505,1.14425198035586,1.06792109565419
"lnPFHxS",1.11724194238086,1.03340803028396,1.10633223286481,0.969427517156399
"lnPFNA",1.23051347799354,1.27048644200401,1.23912244858012,1.31928701184422
"lnPFOS",0.910857249347678,1.01625310635757,0.882590813026634,0.993825317351928
"lnPFOA",1.15329495385105,0.991421362632154,1.06356274043768,0.941133440521252
"MePFOSA_cat",1.13819911167561,1.1605592216766,1.0779919821566,1.2296476282145
"PFUA_cat",0.967865434382628,0.935550829162039,0.977273792258365,0.917429678804578
